name,birthday,nationality
Tom Hanks,1956-07-09,EUA
Brad Pitt,1963-12-18,EUA
Meryl Streep,1949-06-22,EUA
Robert De Niro,1943-08-17,EUA
Angelina Jolie,1975-06-04,EUA
Scarlett Johansson,1984-11-22,EUA
Johnny Depp,1963-06-09,EUA
Jennifer Lawrence,1990-08-15,EUA
Will Smith,1968-09-25,EUA
Julia Roberts,1967-10-28,EUA
Denzel Washington,1954-12-28,EUA
Morgan Freeman,1937-06-01,EUA
Natalie Portman,1981-06-09,EUA
George Clooney,1961-05-06,EUA
Emma Stone,1988-11-06,EUA
Chris Evans,1981-06-13,EUA
Wagner Moura,1976-06-27,BR
Fernanda Montenegro,1929-10-16,BR
Rodrigo Santoro,1975-08-22,BR
Sônia Braga,1950-06-08,BR
Alice Braga,1983-04-15,BR
Selton Mello,1972-12-30,BR
Bruna Marquezine,1995-08-04,BR
Camila Pitanga,1977-06-14,BR
Marina Ruy Barbosa,1995-06-30,BR
Lázaro Ramos,1978-11-01,BR
Débora Falabella,1979-02-22,BR
Murilo Benício,1971-07-13,BR
Paolla Oliveira,1982-04-14,BR
Caio Castro,1989-01-22,BR
Taís Araújo,1978-11-25,BR
Juliana Paes,1979-03-26,BR
Jackie Chan,1954-04-07,OUTROS
Penélope Cruz,1974-04-28,OUTROS
Daniel Day-Lewis,1957-04-29,OUTROS
Marion Cotillard,1975-09-30,OUTROS
Dev Patel,1990-04-23,OUTROS
Hugh Jackman,1968-10-12,OUTROS
Salma Hayek,1966-09-02,OUTROS
Lupita Nyong'o,1983-03-01,OUTROS
Cate Blanchett,1969-05-14,OUTROS
Antonio Banderas,1960-08-10,OUTROS
Gael García Bernal,1978-11-30,OUTROS
Sophie Turner,1996-02-21,OUTROS
Priyanka Chopra,1982-07-18,OUTROS
Rinko Kikuchi,1981-01-06,OUTROS
Alicia Vikander,1988-10-03,OUTROS
Kumail Nanjiani,1978-02-21,OUTROS
